"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274590029614047232","","","","","2012-11-30 19:05:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Jetzt auch f?r Safari: http://t.co/4VJheCRE

?@qrios: Extension f?r Chrome: Leistungssch?tzer ausblenden http://t.co/wUaz7n8a #lsr?","http://www.stefanseiz.com/lsr/","http://qrios.de/2012/11/extension-fur-chrome-leistungsschutzer-ausblenden/"
"272308570962395136","","","","","2012-11-24 11:59:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Takkere Zweige an eine Weihnachtsmarkth?tte."
"272290268521324547","272285097095475200","8783762","","","2012-11-24 10:47:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@markus_siepmann vor oder nach dem hellen Licht?"
"272288378337230848","","","","","2012-11-24 10:39:42 +0000","<a href=""http://www.instapaper.com/"" rel=""nofollow"">Instapaper</a>","Stromrechnung pro Jahr: $40 Mio. Zweck: Numbercrunching. http://t.co/isCINGS5","http://www.wired.com/threatlevel/2012/03/ff_nsadatacenter/all/"
"272250120119148544","","","","","2012-11-24 08:07:41 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Die @Pebble Leute reden schon sehr viel ?ber Ihre Produktion. Ich ahne nichts gutes. 
#shipsseptember"
"272247657118973953","","","","","2012-11-24 07:57:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Sehr sch?n auch die Lichtspiele, die das Schweissger?t durch die geschlossenen Fensterl?den an die Decke projiziert."
"272240517264326656","","","","","2012-11-24 07:29:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Sch?n, wenn Samstag morgens um 0750 vor Deinem Fenster geflext wird. Spart den Wecker."
"271935107915476992","271910770353254400","132887845","","","2012-11-23 11:15:56 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@trackrecordapp ?and let me store the file which would hold the local timers/projects on dropbox so i can sync."
"271934702171066368","271910770353254400","132887845","","","2012-11-23 11:14:19 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@trackrecordapp Your Timetracking but without using any other service. Let me add projects and timers locally?"
"271870236339339264","","","","","2012-11-23 06:58:10 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Wir bauen dann trotzdem schon mal? http://t.co/mBauJJGD","http://bit.ly/XIvc8L"
"271709636393054208","","576390987","","","2012-11-22 20:20:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@letterpressapp i used to see past games in the App. Now, they?re not shown anymore. Any way I can get them shown again?"
"271354637947379713","271318666816131072","16745703","","","2012-11-21 20:49:21 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@x34dash das Device verlangt nach Umtausch."
"271306004891844609","","17136315","","","2012-11-21 17:36:06 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@shopify Order finally went through. That was slow. Thanks, no further support needed."
"271304321147207680","","17136315","","","2012-11-21 17:29:25 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@shopify Hey, just ordered from hard graft. Seeing the ?processing order? page since 10 minutes. What do i need to do to complete the order?"
"271211097657327617","271159879673184256","928881","","","2012-11-21 11:18:59 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@baranek da kommt ein Tesla vermeintlich aber einiges weiter, oder?"
